排名,标题,热度
0,  习近平会见美国国务卿布林肯 , 4907544 
1,  女子与他人共享屏幕 背负百万网贷 , 4901627 
2,  中国女生在马尔代夫被酒店管家性侵 , 4839482 
3,  四组数据，看中小企业发展量质齐升 , 4726296 
4,  布林肯妄言“纠正”中方一个观点 , 4686863 
5,  武大为2020届学生补办毕业礼 , 4525652 
6,  台警方回应黄子佼指控：将不会侦办 , 4414173 
7,  蔡崇信吴泳铭接任阿里董事长和CEO , 4310249 
8,  中国女生马尔代夫被性侵 中使馆回应 , 4236580 
9,  企业月薪1万2半年只招到两人 , 4105959 
10,  一家三口去世:冒出十多人争房产 , 4028914 
11,  小S与舞蹈老师视频 , 3952962 
12,  炎亚纶聊天记录 , 3860091 
13,  黄子佼爱徒Lulu发文力挺 声称感谢 , 3772532 
14,  上海中考多科目泄题？官方回应 , 3604324 
15,  广东一女学生遭校园霸凌被逼下跪 , 3542824 
16,  黄子佼多个代言暂停合作 , 3422043 
17,  女子因自带披肩被景区商贩薅衣服 , 3343905 
18,  学校食堂烤鱼被指现蛆虫 后勤回应 , 3282127 
19,  歌迷吐槽演唱会场地脏到不敢坐 , 3113974 
20,  环卫工偷1斤枇杷被拘 警方:依法合情 , 3093510 
21,  黄子佼连爆13位艺人黑料 , 2938583 
22,  老汉打工多年攒17万被烧成炭 , 2837547 
23,  张歆艺：不是所有的艺人都是坏人 , 2790090 
24,  女子派出所等讯问时死亡 官方通报 , 2641923 
25,  中国第一无人岛易主 原岛主不知去向 , 2554306 
26,  官方就邻居堵死房门一事成立调查组 , 2440746 
27,  男子长城藏时间胶囊12年多人留纸条 , 2389848 
28,  张勇将卸任阿里董事会主席兼CEO , 2210949 
29,  救护车压坏菜 女摊主拦车不让走 , 2105810 
30,  苏州多地内涝 居民家中成水帘洞 , 2050686 
